time	param	target
183270144	141000	0
183395072	5604000	4
184457728	142000	0
184517632	8352000	6
185194752	5605000	4
185588480	143000	0
186420992	8353000	6
186722816	144000	0
186978816	5606000	4
187862016	145000	0
188220672	8354000	6
188791552	5607000	4
188996352	146000	0
189996800	8355000	6
190131200	147000	0
190584576	5608000	4
191282432	148000	0
191776256	8356000	6
192354560	5609000	4
192436736	149000	0
193579008	8357000	6
193636864	150000	0
194164992	5610000	4
194801408	151000	0
195546368	8358000	6
195926528	152000	0
195988736	5611000	4
197109248	153000	0
197413632	8359000	6
197786880	5612000	4
198258432	154000	0
199292672	8360000	6
199410944	155000	0
199592704	5613000	4
200628992	156000	0
201102336	8361000	6
201381888	5614000	4
201800448	157000	0
202972160	158000	0
203009280	8362000	6
203155712	5615000	4
204190208	159000	0
204880640	8363000	6
204988160	5616000	4
205390848	160000	0
206560256	161000	0
206778112	5617000	4
206789120	8364000	6
207730432	162000	0
208644096	5618000	4
208662528	8365000	6
208851712	163000	0
210038784	164000	0
210463744	5619000	4
210498304	8366000	6
211166464	165000	0
212254720	5620000	4
212281088	8367000	6
212355584	166000	0
213526016	167000	0
214039808	5621000	4
214104576	8368000	6
214661632	168000	0
215800832	169000	0
215840256	5622000	4
215988224	8369000	6
217071872	170000	0
217649664	5623000	4
217893120	8370000	6
218189568	171000	0
219377920	172000	0
219463168	5624000	4
219782144	8371000	6
220542208	173000	0
221254400	5625000	4
221600000	8372000	6
221734912	174000	0
222869760	175000	0
223027456	5626000	4
223466752	8373000	6
224048384	176000	0
224826112	5627000	4
225196800	177000	0
225299456	8374000	6
226349824	178000	0
226659840	5628000	4
227156992	8375000	6
227507968	179000	0
228449280	5629000	4
228629504	180000	0
229001472	8376000	6
229821184	181000	0
230245120	5630000	4
230877696	8377000	6
230971136	182000	0
232051456	5631000	4
232178944	183000	0
232740864	8378000	6
233356800	184000	0
233841920	5632000	4
234575360	185000	0
234587392	8379000	6
235660544	5633000	4
235697920	186000	0
236460800	8380000	6
236846848	187000	0
237466368	5634000	4
237993216	188000	0
238305792	8381000	6
239174400	189000	0
239276032	5635000	4
240120320	8382000	6
240308992	190000	0
241064704	5636000	4
241445376	191000	0
241941760	8383000	6
242589696	192000	0
242857216	5637000	4
243814656	193000	0
243845632	8384000	6
244656128	5638000	4
244957440	194000	0
245715968	8385000	6
246093312	195000	0
246457600	5639000	4
247268352	196000	0
247586304	8386000	6
248267520	5640000	4
248395520	197000	0
249403136	8387000	6
249544192	198000	0
250060032	5641000	4
250670080	199000	0
251176192	8388000	6
251804672	200000	0
251845632	5642000	4
252929792	201000	0
252966144	8389000	6
253644032	5643000	4
254066944	202000	0
254747136	8390000	6
255191808	203000	0
255406080	5644000	4
256327168	204000	0
256550912	8391000	6
257177600	5645000	4
257445888	205000	0
258364672	8392000	6
258610688	206000	0
259002624	5646000	4
259766016	207000	0
260254208	8393000	6
260808960	5647000	4
260913152	208000	0
262053888	209000	0
262106624	8394000	6
262622720	5648000	4
263171328	210000	0
263973376	8395000	6
264305664	211000	0
264434176	5649000	4
265431040	212000	0
265834240	8396000	6
266220288	5650000	4
266568192	213000	0
267641088	8397000	6
267686912	214000	0
268024320	5651000	4
268825088	215000	0
269565184	8398000	6
269824000	5652000	4
269944064	216000	0
271092736	217000	0
271388928	8399000	6
271620096	5653000	4
272235264	218000	0
273237760	8400000	6
273367040	219000	0
273423616	5654000	4
274508800	220000	0
275106560	8401000	6
275221504	5655000	4
275661824	221000	0
276795904	222000	0
276917248	8402000	6
277022208	5656000	4
277942528	223000	0
278809344	5657000	4
278853120	8403000	6
279081472	224000	0
280238080	225000	0
280603392	5658000	4
280770560	8404000	6
281457408	226000	0
282385408	5659000	4
282589696	227000	0
282606336	8405000	6
283793408	228000	0
284162048	5660000	4
284505600	8406000	6
284964864	229000	0
285965312	5661000	4
286130176	230000	0
286397184	8407000	6
287297024	231000	0
287760128	5662000	4
288228096	8408000	6
288426240	232000	0
289563904	233000	0
289601792	5663000	4
290093312	8409000	6
290708736	234000	0
291382272	5664000	4
291842048	235000	0
291959552	8410000	6
292988416	236000	0
293169152	5665000	4
293785600	8411000	6
294164480	237000	0
294953472	5666000	4
295292672	238000	0
295632640	8412000	6
296427776	239000	0
296758528	5667000	4
297565696	8413000	6
297578752	240000	0
298563584	5668000	4
298759680	241000	0
299429120	8414000	6
299884800	242000	0
300370176	5669000	4
301031680	243000	0
301363200	8415000	6
302157056	244000	0
302159360	5670000	4
303214592	8416000	6
303309056	245000	0
303966464	5671000	4
304476416	246000	0
305030144	8417000	6
305612032	247000	0
305767424	5672000	4
306796032	248000	0
306881536	8418000	6
307557120	5673000	4
307924736	249000	0
308671232	8419000	6
309057792	250000	0
309357824	5674000	4
310191616	251000	0
310444544	8420000	6
311126784	5675000	4
311364608	252000	0
312221184	8421000	6
312491776	253000	0
312890880	5676000	4
313650688	254000	0
314087680	8422000	6
314663936	5677000	4
314772992	255000	0
315909120	256000	0
315938560	8423000	6
316443392	5678000	4
317029376	257000	0
317797888	8424000	6
318173440	258000	0
318206976	5679000	4
319298560	259000	0
319657984	8425000	6
319975424	5680000	4
320431104	260000	0
321435136	8426000	6
321568768	261000	0
321767424	5681000	4
322715136	262000	0
323212288	8427000	6
323527424	5682000	4
323837696	263000	0
324967680	264000	0
324992256	8428000	6
325295616	5683000	4
326108672	265000	0
326842112	8429000	6
327091200	5684000	4
327263488	266000	0
328395264	267000	0
328704512	8430000	6
328883456	5685000	4
329587456	268000	0
330588160	8431000	6
330681088	5686000	4
330727424	269000	0
331847936	270000	0
332446208	8432000	6
332476160	5687000	4
332996864	271000	0
334161920	272000	0
334323200	8433000	6
334354944	5688000	4
335340032	273000	0
336151296	5689000	4
336196352	8434000	6
336471808	274000	0
337618432	275000	0
337934592	5690000	4
338035712	8435000	6
338752256	276000	0
339817728	5691000	4
339898112	8436000	6
339917056	277000	0
341050880	278000	0
341646592	5692000	4
341746432	8437000	6
342203392	279000	0
343365632	280000	0
343495424	5693000	4
343568128	8438000	6
344622592	281000	0
345316608	5694000	4
345419776	8439000	6
345794304	282000	0
346927104	283000	0
347087104	5695000	4
347276032	8440000	6
348079360	284000	0
348859392	5696000	4
349074176	8441000	6
349203456	285000	0
350361088	286000	0
350626304	5697000	4
350894336	8442000	6
351517184	287000	0
352447744	5698000	4
352664832	288000	0
352755968	8443000	6
353794816	289000	0
354231296	5699000	4
354577664	8444000	6
354947328	290000	0
356008192	5700000	4
356082432	291000	0
356445184	8445000	6
357276928	292000	0
357802496	5701000	4
358260736	8446000	6
358401536	293000	0
359539200	294000	0
359598336	5702000	4
360036096	8447000	6
360662528	295000	0
361354496	5703000	4
361797376	296000	0
361802240	8448000	6
362930432	297000	0
363120896	5704000	4
363580672	8449000	6
364055808	298000	0
364887552	5705000	4
365190144	299000	0
365343744	8450000	6
366315008	300000	0
366652416	5706000	4
367120384	8451000	6
367471872	301000	0
368422400	5707000	4
368607488	302000	0
368926720	8452000	6
369743104	303000	0
370185216	5708000	4
370701312	8453000	6
370868736	304000	0
371944960	5709000	4
372001024	305000	0
372467456	8454000	6
373138688	306000	0
373710848	5710000	4
374222080	8455000	6
374270720	307000	0
375394304	308000	0
375476736	5711000	4
376035584	8456000	6
376570624	309000	0
377257984	5712000	4
377701632	310000	0
377925120	8457000	6
379030528	5713000	4
380802560	5714000	4
381983488	311000	0
381988352	8458000	6
382566912	5715000	4
383124736	312000	0
383824128	8459000	6
384273408	313000	0
384347136	5716000	4
385436160	314000	0
385644800	8460000	6
386621184	315000	0
387432192	8461000	6
387580416	5717000	4
387755264	316000	0
388881152	317000	0
389231104	8462000	6
389379584	5718000	4
390015744	318000	0
391046144	8463000	6
391150080	319000	0
391150080	5719000	4
392285184	320000	0
392820736	8464000	6
392921088	5720000	4
393457664	321000	0
394613248	322000	0
394686464	8465000	6
394698240	5721000	4
395736064	323000	0
396500480	5722000	4
396549376	8466000	6
396889344	324000	0
398016512	325000	0
398284288	5723000	4
398373632	8467000	6
399159040	326000	0
400052224	5724000	4
400181248	8468000	6
400304384	327000	0
401441792	328000	0
401822720	5725000	4
401953024	8469000	6
402571008	329000	0
403605760	5726000	4
403693568	330000	0
403721216	8470000	6
404854784	331000	0
405401600	5727000	4
405577984	8471000	6
405988608	332000	0
407166464	5728000	4
407177984	333000	0
407491328	8472000	6
408322816	334000	0
408938240	5729000	4
409297920	8473000	6
409450240	335000	0
410592512	336000	0
410721024	5730000	4
411151104	8474000	6
411735296	337000	0
412505088	5731000	4
412850176	338000	0
412997120	8475000	6
413996032	339000	0
414276352	5732000	4
414839552	8476000	6
415130624	340000	0
416058368	5733000	4
416287488	341000	0
416657152	8477000	6
417476608	342000	0
417821696	5734000	4
418449664	8478000	6
418616320	343000	0
419589376	5735000	4
419769344	344000	0
420271872	8479000	6
420890368	345000	0
421364736	5736000	4
422025728	346000	0
422050304	8480000	6
423149824	5737000	4
423172096	347000	0
423904000	8481000	6
424309248	348000	0
424937472	5738000	4
425440512	349000	0
425745920	8482000	6
426589952	350000	0
426762752	5739000	4
427616768	8483000	6
427715328	351000	0
428559360	5740000	4
428850688	352000	0
429418496	8484000	6
429974528	353000	0
430325760	5741000	4
431120896	354000	0
431217152	8485000	6
432102912	5742000	4
432275968	355000	0
432996352	8486000	6
433408000	356000	0
433880064	5743000	4
434572288	357000	0
434770944	8487000	6
435670016	5744000	4
435721728	358000	0
436611328	8488000	6
436866560	359000	0
437473024	5745000	4
437995776	360000	0
438461696	8489000	6
439141120	361000	0
439295744	5746000	4
440273920	362000	0
440491520	8490000	6
441110784	5747000	4
441407488	363000	0
442313984	8491000	6
442553856	364000	0
442927360	5748000	4
443731968	365000	0
444179968	8492000	6
444728832	5749000	4
444883200	366000	0
446023936	367000	0
446078720	8493000	6
446541568	5750000	4
447176448	368000	0
447932416	8494000	6
448325888	369000	0
448340480	5751000	4
449448960	370000	0
449790976	8495000	6
450125568	5752000	4
450592512	371000	0
451646976	8496000	6
451721472	372000	0
451954176	5753000	4
452880384	373000	0
453480704	8497000	6
453736960	5754000	4
454031104	374000	0
455179520	375000	0
455312384	8498000	6
455518208	5755000	4
456314368	376000	0
457196032	8499000	6
457281536	5756000	4
457454336	377000	0
458617344	378000	0
459046400	8500000	6
459064576	5757000	4
459748864	379000	0
460847360	5758000	4
460882176	380000	0
460945408	8501000	6
462036224	381000	0
462614528	5759000	4
462800896	8502000	6
463185920	382000	0
464351744	383000	0
464417280	5760000	4
464673792	8503000	6
465516288	384000	0
466205440	5761000	4
466561024	8504000	6
466674432	385000	0
467822592	386000	0
468005120	5762000	4
468425216	8505000	6
468957184	387000	0
469818368	5763000	4
470097152	388000	0
470293760	8506000	6
471284224	389000	0
471628544	5764000	4
472132864	8507000	6
472410112	390000	0
473426176	5765000	4
473559040	391000	0
473990400	8508000	6
474681600	392000	0
475201024	5766000	4
475802368	8509000	6
475817984	393000	0
476935936	394000	0
476990464	5767000	4
477637632	8510000	6
478109440	395000	0
478760704	5768000	4
479264512	396000	0
479493376	8511000	6
480416256	397000	0
480540416	5769000	4
481448704	8512000	6
481543168	398000	0
482311424	5770000	4
482672384	399000	0
483322624	8513000	6
483804928	400000	0
484079616	5771000	4
484969472	401000	0
485161984	8514000	6
485861376	5772000	4
486122496	402000	0
487066624	8515000	6
487261952	403000	0
487682304	5773000	4
488557056	404000	0
488920576	8516000	6
489511168	5774000	4
489682176	405000	0
490761472	8517000	6
490814464	406000	0
491290368	5775000	4
491936768	407000	0
492602624	8518000	6
493074688	5776000	4
493128448	408000	0
494376448	409000	0
494438656	8519000	6
494841600	5777000	4
495517440	410000	0
496252928	8520000	6
496639744	5778000	4
496692480	411000	0
497854720	412000	0
498113792	8521000	6
498435584	5779000	4
498988032	413000	0
499977216	8522000	6
500150016	414000	0
500231424	5780000	4
501280000	415000	0
501819392	8523000	6
502033664	5781000	4
502420992	416000	0
503555584	417000	0
503674112	8524000	6
503827712	5782000	4
504676096	418000	0
505509120	8525000	6
505599488	5783000	4
505830656	419000	0
506957056	420000	0
507367936	8526000	6
507372032	5784000	4
508092416	421000	0
509155584	5785000	4
509172480	8527000	6
509226752	422000	0
510376192	423000	0
510918656	5786000	4
510992128	8528000	6
511521024	424000	0
512674816	425000	0
512721152	5787000	4
512833792	8529000	6
513799168	426000	0
514529792	5788000	4
514722816	8530000	6
514977024	427000	0
516116736	428000	0
516323328	5789000	4
516563968	8531000	6
517251840	429000	0
518116352	5790000	4
518383104	430000	0
518407168	8532000	6
519508224	431000	0
519902208	5791000	4
520258304	8533000	6
520645632	432000	0
521680896	5792000	4
521760512	433000	0
522108928	8534000	6
522911488	434000	0
523450368	5793000	4
523916544	8535000	6
524152064	435000	0
525212928	5794000	4
525350144	436000	0
525729024	8536000	6
526549760	437000	0
526989568	5795000	4
527550464	8537000	6
527741952	438000	0
528766464	5796000	4
528900352	439000	0
529305600	8538000	6
530118912	440000	0
530548736	5797000	4
531196928	8539000	6
531274496	441000	0
532364032	5798000	4
532432128	442000	0
533099008	8540000	6
533559040	443000	0
534131200	5799000	4
534742784	444000	0
534946560	8541000	6
535903744	445000	0
535912704	5800000	4
536804096	8542000	6
537027840	446000	0
537703168	5801000	4
538177280	447000	0
538613760	8543000	6
539309568	448000	0
539512064	5802000	4
540422912	8544000	6
540450560	449000	0
541291776	5803000	4
541589248	450000	0
542195712	8545000	6
542719488	451000	0
543059200	5804000	4
543883008	452000	0
543969280	8546000	6
544829696	5805000	4
545028864	453000	0
545772288	8547000	6
546195712	454000	0
546590720	5806000	4
547324160	455000	0
547571456	8548000	6
548357632	5807000	4
548493824	456000	0
549358848	8549000	6
549626880	457000	0
550119680	5808000	4
550754560	458000	0
551121920	8550000	6
551915008	5809000	4
551982592	459000	0
552986112	8551000	6
553225984	460000	0
553702400	5810000	4
554350592	461000	0
554866688	8552000	6
555489024	462000	0
555494656	5811000	4
556620544	463000	0
556765184	8553000	6
557265152	5812000	4
557757952	464000	0
558606592	8554000	6
558886400	465000	0
559094016	5813000	4
560062976	466000	0
560401920	8555000	6
560900608	5814000	4
561188608	467000	0
562188288	8556000	6
562328320	468000	0
562702848	5815000	4
563454720	469000	0
563970816	8557000	6
564460800	5816000	4
564591360	470000	0
565732864	471000	0
565745408	8558000	6
566227712	5817000	4
566868736	472000	0
567550720	8559000	6
567977472	5818000	4
567996160	473000	0
569136128	474000	0
569366784	8560000	6
569742848	5819000	4
570279936	475000	0
571139328	8561000	6
571402240	476000	0
571514368	5820000	4
572546304	477000	0
572904448	8562000	6
573262848	5821000	4
573668608	478000	0
574676224	8563000	6
574795776	479000	0
575018752	5822000	4
575923456	480000	0
576460032	8564000	6
576833536	5823000	4
577057792	481000	0
578182912	482000	0
578215936	8565000	6
578588928	5824000	4
579328768	483000	0
580047104	8566000	6
580391936	5825000	4
580490752	484000	0
581639936	485000	0
581891072	8567000	6
582201856	5826000	4
582764544	486000	0
583749120	8568000	6
583927296	487000	0
583991808	5827000	4
585101568	488000	0
585542400	8569000	6
585805056	5828000	4
586281472	489000	0
587325184	8570000	6
587499008	490000	0
587569920	5829000	4
588662528	491000	0
589102080	8571000	6
589333760	5830000	4
589820928	492000	0
590884352	8572000	6
590963712	493000	0
591118848	5831000	4
592095232	494000	0
592650240	8573000	6
592881152	5832000	4
593260032	495000	0
594468096	496000	0
594473216	8574000	6
594637568	5833000	4
595599360	497000	0
596299520	8575000	6
596415232	5834000	4
596753152	498000	0
597875200	499000	0
598156288	8576000	6
598200320	5835000	4
599035392	500000	0
599977472	5836000	4
600005888	8577000	6
600190464	501000	0
601328128	502000	0
601762816	5837000	4
601857792	8578000	6
602450944	503000	0
603567360	5838000	4
603583744	504000	0
603706112	8579000	6
604724224	505000	0
605346560	5839000	4
605572352	8580000	6
605852416	506000	0
606993664	507000	0
607114752	5840000	4
607473408	8581000	6
608161536	508000	0
608895232	5841000	4
609332224	509000	0
609361920	8582000	6
610471936	510000	0
610891008	5842000	4
611253504	8583000	6
611623168	511000	0
612651264	5843000	4
612791296	512000	0
613143296	8584000	6
613915904	513000	0
614409216	5844000	4
614982144	8585000	6
615060224	514000	0
616181248	5845000	4
616189696	515000	0
